TIME,GEO,CROPS,STRUCPRO,Value,Flag_and_Footnotes
2012,Spain,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Spain,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),4 555.21,
2012,France,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),9 377.68,
2012,France,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),220.93,
2012,France,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),243.19,
2012,France,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,France,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),942.50,
2012,Croatia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),573.11,
2012,Croatia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1.74,
2012,Croatia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),6.83,
2012,Croatia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Croatia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),74.86,
2012,Italy,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),3 577.76,
2012,Italy,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),72.69,
2012,Italy,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),403.77,
2012,Italy,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Italy,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),2 380.04,
2012,Cyprus,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),37.82,
2012,Cyprus,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.37,
2012,Cyprus,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),2.86,
2012,Cyprus,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Cyprus,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),28.43,
2012,Latvia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),563.90,
2012,Latvia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),4.20,
2012,Latvia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),3.00,
2012,Latvia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Latvia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),4.20,
2012,Lithuania,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 159.70,
2012,Lithuania,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),42.40,
2012,Lithuania,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),11.57,
2012,Lithuania,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Lithuania,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),21.59,
2012,Luxembourg,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),27.84,
2012,Luxembourg,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.17,
2012,Luxembourg,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),0.04,
2012,Luxembourg,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Luxembourg,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),1.54,
2012,Hungary,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),2 757.93,
2012,Hungary,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),21.81,
2012,Hungary,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),77.54,
2012,Hungary,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Hungary,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),146.88,
2012,Malta,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),0.00,
2012,Malta,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.00,
2012,Malta,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),0.00,n
2012,Malta,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Malta,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),0.00,n
2012,Netherlands,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),213.00,
2012,Netherlands,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),3.00,
2012,Netherlands,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),72.43,
2012,Netherlands,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Netherlands,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),16.86,
2012,Austria,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),811.51,
2012,Austria,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),22.10,
2012,Austria,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),15.00,
2012,Austria,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Austria,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),53.35,
2012,Poland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),7 704.30,
2012,Poland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),139.90,
2012,Poland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),235.30,
2012,Poland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Poland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),398.00,
2012,Portugal,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),288.97,
2012,Portugal,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),11.86,
2012,Portugal,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),46.79,
2012,Portugal,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Portugal,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),731.59,
2012,Romania,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),5 441.28,
2012,Romania,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),55.24,
2012,Romania,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),170.66,
2012,Romania,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Romania,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),318.91,
2012,Slovenia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),99.73,
2012,Slovenia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.75,
2012,Slovenia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),4.45,
2012,Slovenia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Slovenia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),26.83,
2012,Slovakia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),792.82,
2012,Slovakia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),7.27,
2012,Slovakia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),8.21,
2012,Slovakia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Slovakia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),15.43,
2012,Finland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 036.30,
2012,Finland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),12.90,
2012,Finland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),14.08,
2012,Finland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Finland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),2.24,
2012,Sweden,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),992.70,
2012,Sweden,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),31.26,
2012,Sweden,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),16.46,
2012,Sweden,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Sweden,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),2.18,
2012,Iceland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),4.20,
2012,Iceland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.00,
2012,Iceland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),0.00,
2012,Iceland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Iceland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),0.00,n
2012,Norway,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),294.00,
2012,Norway,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),,
2012,Norway,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),8.67,
2012,Norway,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Norway,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),2.70,
2012,Switzerland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),146.42,
2012,Switzerland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),3.82,
2012,Switzerland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),,
2012,Switzerland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Switzerland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),,
2012,United Kingdom,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),3 142.00,
2012,United Kingdom,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),120.00,
2012,United Kingdom,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),,
2012,United Kingdom,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,United Kingdom,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),23.00,
2012,Montenegro,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),2.02,
2012,Montenegro,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),0.03,
2012,Montenegro,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),0.87,
2012,Montenegro,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Montenegro,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),3.24,
2012,Macedonia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),162.91,
2012,Macedonia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),13.81,
2012,Macedonia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),34.38,
2012,Macedonia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Macedonia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),34.10,
2012,Albania,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),143.00,
2012,Albania,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),14.60,
2012,Albania,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),,
2012,Albania,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Albania,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),71.74,
2012,Serbia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 715.33,
2012,Serbia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),13.31,
2012,Serbia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),66.84,
2012,Serbia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Serbia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),185.20,
2012,Turkey,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),11 293.00,
2012,Turkey,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),772.00,
2012,Turkey,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),886.00,
2012,Turkey,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Turkey,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),3 213.00,
2012,Bosnia and Herzegovina,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),305.06,e
2012,Bosnia and Herzegovina,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),10.48,e
2012,Bosnia and Herzegovina,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),28.57,e
2012,Bosnia and Herzegovina,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Bosnia and Herzegovina,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),,z
2012,Kosovo,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),137.20,
2012,Kosovo,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),3.00,
2012,Kosovo,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),6.30,
2012,Kosovo,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2012,Kosovo,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),7.00,
2013,European Union - 27 countries (from 2020),Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),54 955.92,
2013,European Union - 27 countries (from 2020),Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1 185.16,
2013,European Union - 27 countries (from 2020),Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),1 791.58,
2013,European Union - 27 countries (from 2020),Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,European Union - 27 countries (from 2020),Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),12 076.87,
2013,European Union - 28 countries (2013-2020),Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),57 990.54,
2013,European Union - 28 countries (2013-2020),Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1 332.16,
2013,European Union - 28 countries (2013-2020),Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),,
2013,European Union - 28 countries (2013-2020),Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,European Union - 28 countries (2013-2020),Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),12 099.87,
2013,Belgium,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),337.90,
2013,Belgium,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),1.70,
2013,Belgium,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),45.97,
2013,Belgium,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Belgium,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),17.76,
2013,Bulgaria,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),2 006.99,
2013,Bulgaria,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),6.21,
2013,Bulgaria,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),23.45,
2013,Bulgaria,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Bulgaria,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),83.29,
2013,Czech Republic,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 413.14,
2013,Czech Republic,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),17.85,
2013,Czech Republic,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),8.56,
2013,Czech Republic,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Czech Republic,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),33.17,
2013,Denmark,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 426.10,
2013,Denmark,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),7.20,
2013,Denmark,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),10.91,
2013,Denmark,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Denmark,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),5.63,
2013,Germany,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),6 533.70,
2013,Germany,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),74.70,
2013,Germany,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),109.06,
2013,Germany,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Germany,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),152.91,
2013,Estonia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),311.10,
2013,Estonia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),13.60,
2013,Estonia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),1.70,
2013,Estonia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Estonia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),1.90,
2013,Ireland,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),306.70,
2013,Ireland,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),4.48,
2013,Ireland,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),4.10,
2013,Ireland,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Ireland,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),0.75,
2013,Greece,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),1 034.84,
2013,Greece,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),44.14,
2013,Greece,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),95.19,
2013,Greece,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Greece,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),1 237.67,
2013,Spain,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),6 268.03,
2013,Spain,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),378.11,
2013,Spain,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),318.51,
2013,Spain,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Spain,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),4 582.49,
2013,France,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),9 473.42,
2013,France,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),190.72,
2013,France,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),186.53,
2013,France,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,France,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),940.91,
2013,Croatia,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),570.04,
2013,Croatia,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),2.02,
2013,Croatia,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),8.11,
2013,Croatia,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Croatia,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),68.49,
2013,Italy,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),3 459.87,
2013,Italy,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (cultivation/harvested/production) (1000 ha),68.26,
2013,Italy,Fresh vegetables (including melons),Area (cultivation/harvested/production) (1000 ha),349.31,
2013,Italy,Permanent grassland,Area (cultivation/harvested/production) (1000 ha),,
2013,Italy,Permanent crops for human consumption,Area (cultivation/harvested/production) (1000 ha),3 144.15,
2013,Cyprus,Cereals for the production of grain (including seed),Area (cultivation/harvested/production) (1000 ha),30.76,
